video_name,frame_index,encode_type,key_used,decoded_bits,recovered_bits,matched_bits,hamming_distance,similarity,raw_msg,is_exact_match
0_encoded,185,multibit,video_Watermark,10000111001000101010101111011010000010000010011010110011,100001110010001010101011,,30,,,False
0_encoded,186,multibit,video_Watermark,00000111001000101110101111011010000010000010011011110010,000001110010001011101011,,30,,,False
0_encoded,187,multibit,video_Watermark,00010111001010101110011111011000100010100010011111110110,000101110010101011100111,,23,,,False
0_encoded,188,multibit,video_Watermark,00000111001000101110001111001101100000100110011010110010,000001110010001011100011,01110010011001010111001101100101110000010110000010101000,22,0.6071428571428572,reserved,False
0_encoded,189,multibit,video_Watermark,00000111001000101000000011001100101000000010011010110011,000000110010001010000000,01100010011110010000000000000000101001010000011001110101,21,0.625,by,False
0_encoded,190,multibit,video_Watermark,10000111001000101010000011011010100010000010011010110111,100001110010001010100000,,25,,,False
0_encoded,191,multibit,video_Watermark,10000111001000101110001111011011000010100010011010110011,100001110010001011100011,,30,,,False
0_encoded,192,multibit,video_Watermark,00001110001010001111010011011000000000110110000111010011,000011100010100011110100,01101110011010010111010001110000010100111101000111011001,15,0.7321428571428572,nitphen,False
0_encoded,193,multibit,video_Watermark,00000111001011101110110001011100100010100111001111010011,000001110010111011101100,01000001011011000110110000000000010011010101101111001001,20,0.6428571428571428,All,False
0_encoded,194,multibit,video_Watermark,00000111001010101110011111011000100011000011010111110110,000001110010101011100111,01110010011010010110011101101000111111011001100111110110,20,0.6428571428571428,rights,False
0_encoded,195,multibit,video_Watermark,00000111001000101110001111011000101010000010011010110011,000001110010001011100011,,26,,,False
0_encoded,196,multibit,video_Watermark,10000111001000101110000111011010001000000010011010110011,100001110010001011100001,,27,,,False
