img,attack,log10_pvalue,R,marked,param0
4,center_crop,-69.0708695683613,11042298.0,True,1.0
4,resize,-0.6966576815134287,-259254.15625,False,0.1
4,resize,-2.0663720870576765,-197637.8125,False,0.2
4,resize,-6.816676066915457,34427.140625,True,0.30000000000000004
4,resize,-15.238812961815688,455295.65625,True,0.4
4,resize,-27.749480316683343,931261.125,True,0.5
4,resize,-39.203280641980754,2026748.875,True,0.6000000000000001
4,resize,-46.243729183335375,3545630.75,True,0.7000000000000001
4,resize,-46.82668509656082,4419999.0,True,0.8
4,resize,-49.62528471282775,5161097.5,True,0.9
4,resize,-69.0708695683613,11042298.0,True,1.0
4,blur,-66.29976819029494,9819624.0,True,3.0
4,blur,-63.542272265388874,8320278.0,True,5.0
4,blur,-59.254607704516665,6803175.5,True,7.0
4,blur,-55.5261497390659,5330030.5,True,9.0
4,blur,-50.77893645106747,3927475.0,True,11.0
4,blur,-42.688912494225995,2528787.5,True,13.0
4,blur,-29.563389303274462,1212140.125,True,15.0
4,blur,-14.640859180386878,398249.3125,True,17.0
4,blur,-6.668604327265288,32821.03125,True,19.0
4,jpeg,-0.4068410920939922,-177468.375,False,10.0
4,jpeg,-0.4289685405325975,-150550.421875,False,20.0
4,jpeg,-1.9659161895687498,-77629.1171875,False,30.0
4,jpeg,-4.033531545010653,-36016.6484375,False,40.0
4,jpeg,-8.727357750889245,51731.5546875,True,50.0
4,jpeg,-13.38746921209671,159221.0625,True,60.0
4,jpeg,-24.715600923496282,518109.1875,True,70.0
4,jpeg,-35.093493568574544,1195294.875,True,80.0
4,jpeg,-50.944106450889855,3309322.25,True,90.0
4,jpeg,-65.79499820337104,8907327.0,True,100.0
4,contrast,-0.2383010156700178,-38139.1875,False,0.0
4,contrast,-66.19032613781545,8986093.0,True,0.5
4,contrast,-69.0708695683613,11042298.0,True,1.0
4,contrast,-64.50131496775298,9434265.0,True,1.5
4,contrast,-56.01340325708721,5876947.0,True,2.0
4,brightness,-62.16421458391991,8172445.5,True,0.5
4,brightness,-69.0708695683613,11042298.0,True,1.0
4,brightness,-51.92054260379271,5088517.0,True,1.5
4,brightness,-31.841142322663664,1291953.5,True,2.0
4,hue,-16.874233620675035,328984.875,True,-0.5
4,hue,-32.36469918430706,1346787.875,True,-0.25
4,hue,-68.83294375346982,10571716.0,True,0.0
4,hue,-44.48492314395899,2765497.0,True,0.25
4,hue,-17.272369207188934,339657.90625,True,0.5
4,hue,-39.53915589164575,1663015.625,True,0.2
5,none,-74.32347164981358,3646948.0,True,-1.0
5,meme_format,-24.8656164467348,281985.625,True,-1.0
